<Hash=0xB412CAF>	One of us... One of us...
<Hash=0xF2CBA8C5>	Well, we've got to find her!
<Hash=0xEDCBA0E6>	Be careful everyone, good luck!
<Hash=0xBE2F882D>	Are you feeling OK Cleo? You seemed pretty upset when you left fearleading yesterday...
<Hash=0x81D345A7>	Oh Cleo, you're safe! I was really worried.
<Hash=0x78D3377C>	I'm really starting to worry about Cleo, memory loss can't be good!
<Hash=0xB82F7EBB>	You know, all the stuff about Spectra. No one meant to get you upset and we were really worried about you...
<Hash=0xBA2F81E1>	Maybe I'm just getting confused... Don't worry about it.
<Hash=0x66F76F57>	The poor ghoul didn't know what hit her. Ghoulia is your friend... we all are, and you've been acting so mean lately. Is this fearleading competition really that important?!
<Hash=0x5AF75C73>	Trust us Cleo, you did. We all saw you lose it...
<Hash=0xEA6780E0>	She's been like this all day... there's no escaping her!
<Hash=0x5465C6B2>	There's little doubt that Cleo's changed. She used to be a hard task-master, but now she's become downright mean. What she did to Ghoulia was totally unacceptable, but what can we do about it?
<Hash=0x5463881B>	Sounds good...
<Hash=0x58638E67>	I worried at how Cleo will react!
<Hash=0xEDE92D8>	Hey, did you find Ghoulia? Is she OK?
<Hash=0x14DE9C4A>	That doesn't sound good. This should never have happened!
<Hash=0xB936D6EB>	Boy, I hope she actually turns up! Whadda we do if Cleo doesn't come to practice?!
<Hash=0x6C543AC1>	Ghouls... Is it just me or has Cleo totally lost it!
<Hash=0x6D543C54>	Do you think she got the message?
<Hash=0x63542C96>	What about all that weird Egyptian stuff Cleo was spouting and the crazy threats against the school? Do you think we should be worried?
<Hash=0x6F567E11>	Yeah!
<Hash=0x6B5677C5>	I'm sooo worried about Cleo, she really isn't herself!
<Hash=0xBB36DA11>	Are you sure that confronting Cleo is the best way to handle the situation?!
<Hash=0xB036C8C0>	Please Cleo! Tell us what's happening. Why have you been acting so weird? Is everything alright at home? We're your friends, we just want to help you!
<Hash=0x3CAE7E70>	Hey, you know I'm really looking forward to practice today.
<Hash=0xC6B0BEC0>	You know what... we're probably just overreacting! They could have just slept in, or decided on having a lazy day... Let's start practicing without them.
<Hash=0xC8B0C1E6>	Do you get the feeling someone's watching us?!
<Hash=0xCDB0C9C5>	Cleo!!! What are you doing here?!
<Hash=0xCFB0CCEB>	What's going on?!! Yesterday, we decided to kick Cleo off the team and now you guys are acting like you want her back as captain. I don't understand...
<Hash=0x59B861EE>	(whisper) What should we do?
<Hash=0xD847B72F>	Good idea! Let's go!
<Hash=0xD947B8C2>	Oh dear. I've left a book in the study howl, I'll need to go and get it.
<Hash=0x4FB85230>	Oh, it's like a really heavy book... like, really heavy.
<Hash=0x3EAE8196>	As much as I like Cleo, her behaviour was really making fearleading a high drama. It kinda sucked the fun outta everything! Oh! Hm, I wonder where Clawdeen and Draculaura are. They should have been here by now...
<Hash=0x53B619E5>	That was close! I can't believe Clawdeen and Draculaura have changed!
<Hash=0x4CB60EE0>	We have to turn up to Fearleading Practice tomorrow, for their sake! Draculaura and Clawdeen were on our side just a couple of days ago, but now...
<Hash=0x5AB624EA>	Meet me at the gym before practice begins, I don't want to get caught in there by myself!
<Hash=0xE3BDB85A>	Please be careful! I'm really starting to get scared now...
<Hash=0x40AE84BC>	You don't think we should be worried, do you?
<Hash=0x45AE8C9B>	Yeah, you're probably right. Let's just start practicing without them. I'm sure they'll turn up soon.
<Hash=0x54AC267A>	GROOOAAANN!!! (Gotta, finalize this plan, we need to reverse the curse!)
<Hash=0x4EFB432C>	GROAAAN!! (Welcome to the Comic Book Club! While I usually prefer to start meetings in a more punctual manner, it appears we are missing one important member. Operetta has not arrived yet.)
<Hash=0x728AA6A7>	GROOAAAANN (It is defrightful to have you with us.)
<Hash=0x6D8A9EC8>	GROOOAAANNN!! (This may take a while. Slomo, do you mind hanging out to assist?)
<Hash=0x6F8AA1EE>	GROOOAAANN!! (Thanks for the help <name>. I do not think you will need to hang around. I foresee this taking quite a long time.)
<Hash=0x51FB47E5>	GROAAAAN!! (Her absence is indeed quite puzzling. Would you mind tracking down Operetta to unearth the reason for her tardiness?)
<Hash=0xAE82B656>	GROAAANNN!! (Thank you for your UHHH-mazing help!)
<Hash=0xAD82B4C3>	GROAAANNN (Oh, sure I UHHH-nderstand. Let me know if you find the time.)
<Hash=0x230F4671>	GRROOOOAAANN!! (Today I have something thrilling planned. I want the comic book club to create their own comic book hero.)
<Hash=0x720B9853>	GRROOAAANNN!! (How about you <name>, what kind of powers do you think that our super hero should have? Let us choose from some options. Super Speed, or Super Intelligent?)
<Hash=0xC64526C8>	GRRROOAAANN!! (A superhero after my own undead heart! But do they fight crime using their Wits or their Fists?)
<Hash=0xC9452B81>	GRRROAAANN!! (Great, so our superhero oozes with intelligence, but does she have mind reading abilities or can she shoot lasers from her eyes?)
<Hash=0xD24B49DA>	GRRROOOAANN!! (Fangtastic, a super fast hero that uses their wits to take down crime! That sounds great! What does everyone think?)
<Hash=0xD14B4847>	GRRROOOAANN!! (Fangtastic, a super fast hero that uses their fists to take down crime! That sounds great! What does everyone else think?)
<Hash=0xD04B46B4>	GRRROOOAANN!! (Creepy-Cool! A super smart hero that uses laser eyes to take down crime! That sounds great! What does everyone else think?)
<Hash=0xCF4B4521>	GRRROOOAANN!! (Creepy-Cool! A super smart hero that uses mind reading to take down crime! That sounds great! What does everyone else think?)
<Hash=0x7A0BA4EB>	GROOOAAANN!! (So now that we know the powers... our hero needs a heroic name! <name>, pick a name for the hero).
<Hash=0x1042AAB>	GRROOOAANNN!! (If everyone is happy with that, then I will start drawing up some sketches. Everyone, put your heads together and think of a way to promote the comic book!)
<Hash=0x270F4CBD>	GRROOAAANNN!! (What UHHH-mazing suggestions. Deadfast is my favorite comic book hero because he is brave, dashing and most of all, incredibly fast. It would appear that we all prefer heroes who are not like ourselves.)
<Hash=0x250F4997>	GRROOOAANNN!! (You talked about a hero with an uncanny ability to excel in tight places, well... is it not true that you experience claustrophobia?)
<Hash=0x25E853B6>	GRROOAAAN!! (So I put together some sketches of <heroname>, and I even had time to make a superhero outfit.)
<Hash=0x29B92F30>	GRROAAAANN!! (Oh wow, a real emergency, right when we needed one! Not only did you just save Rochelle, but no one is going to forget the name <heroname>	now! Good job <name>.
<Hash=0x23E85090>	GROAAANNN!! (Not only have I constructed an outfit, but I have also concocted quite an elaborate plan of attack. If we are going to release our comic book, then we could get someone to wear this and spread the word!)
<Hash=0x28E8586F>	GROAAAANN!! (This is why I asked <name>	to attend today. <name>, could you try on the <heroname>	outfit?)
<Hash=0x2DE8604E>	GRROOOAAANNN!! (Well, it would be ideal if <name>	could go out there and do something heroic, but that implies some kind of problem. Perhaps you could just talk to a few people, and introduce yourself as <heroname>?)
<Hash=0x6C895691>	GROAAAANNN!! (You posted them all already? That is UHHH-mazing! Be sure to come to the book signing too. This comic is as much yours as ours).
<Hash=0xF981F121>	GROOAAANNNN!! (Yes, the book signing is a great idea! We can pass out copies of the book and really promote <heroname>. Great suggestion Neighthan.)
<Hash=0xFC81F5DA>	GROOAAAANNN!! (They look fangtastic! We could hang them up all over the school so everyone knows when the book signing is happening!)
<Hash=0xFD81F76D>	GRROAAAANN!! (<name>, could you hang these posters up around the school?)
<Hash=0xB753626>	GRROAAAANN!! (I cannot thank you enough, <name>. You are such a big help.)
<Hash=0xA753493>	GROOAAANNN!! (That is OK, we can do it some other time when you are free.)
<Hash=0x7B976640>	GRROAAAANNN!! (The turn out is UHHH-nbelievable! I hope we have enough comics to give out.)
<Hash=0x82977145>	GRROOAAANNN!! (That sounds scary-cool! I will get to work on it tonight.)
<Hash=0x81976FB2>	GRROAAANN!! (Thanks, <name>. You helped show everyone how much fun comic books can be - and that is what I really wanted to do all along.)
<Hash=0x911E216F>	GROOOAAANN!!! (It's really good to see you Ghouls, especially since you're still acting like your old selves.)
<Hash=0x8F1E1E49>	GROOOAAANN!!! (The truth is even more unthinkable than all of the crazy events of the past few days. The best way to explain it all, is to show you. There's an ancient book in the Library, that I believe, holds all the answers! We should meet up there, tomorrow AFTERNOON. How's that sound?)
<Hash=0x9B1E312D>	GROOOAAANN!!! (The Nekri-comic-com is gonna blow their minds!!!)
<Hash=0xBD9C00F2>	GROOOAAANN!!! (Hey ghouls, I'm glad you made it! Come on, the book I was talking about is in the archives...)
<Hash=0x3E953166>	GROOOAAANN!!! (That's it!!! One of the missing pages of the Hieropedia. Good work Frankie. From what I can tell, there are 5 more pages that have been torn from the book. We need the info they contain ghouls, so lets get to work...)
<Hash=0x429537B2>	GROOOAAANN!!! (That sounds about right! What better way to get back at Bloodgood, than to take away everything she loves. Her students and Monster High itself. It also gives that loon another shot at taking over the World! So... What do you think we should do?)
<Hash=0x4095348C>	GROOOAAANN!!! (Sounds like a plan. Let's take the pages to Bloodgood, then work out our next play from there. Everyone agree?)
<Hash=0x9FF3A6D0>	GROOOAAANN!!! (Don't worry New Ghoul. Headmistress Bloodgood isn't scary. She's probably the best ally we could have right now.)
<Hash=0x56931897>	GROOOAAANN!!! (Great plan, Frankie. We'll meet up outside Bloodgood's Office at lunch, and talk to her together.)
<Hash=0x539313DE>	GROOOAAANN!!! (That's right! More and more people are acting strange every day! By my calculations, this curse will completely take over the school in about a week.)
<Hash=0xBB9BFDCC>	GROOOAAANN!!! (It's called the Hieropedia. It's ages old and is actually bound in the bandages of a real Mummy. I found several references to Cleo's gold amulet... Now, just to find it again...)
<Hash=0x4F90CEFB>	GROOOAAANN!!! (I'm totally wrecked, time for a good night's sleep!)
<Hash=0xBA9BFC39>	GROOOAAANN!!! (It was right here! It's gotta be here somewhere. Let's see if we can find it...)
<Hash=0xB79BF780>	GROOOAAANN!!! (Yes, that's it!!! Now... It's just a matter of finding the right pages...)
<Hash=0xC69C0F1D>	GROOOAAANN!!! (NO, No... This can't be right!!! All of the relevant pages are gone! It was all there... solid evidence... the amulet, the curse, Spookenkhamun, his vendetta against Bloodgood, and all of the info needed to stop it!)
<Hash=0xC437E196>	GROOOAAANN!!! (I have little doubt we can break the curse, it's just a matter of finding the right clue to show us how. Unfortunately, as of yet, nothing in the pages has pointed me in the right direction. It'll just take some time...)
<Hash=0x88F836BF>	GRROOOAAANN!! (There goes our strongest ally.)
<Hash=0x86F83399>	GROOOAAANN!!! (For starters, I have to find a way to reverse the effects of the curse. That means I've gotta hit the books and search the pages again for any clues.)
<Hash=0x8FFA805B>	GROOOAAANN!!! (You said it ghoul!!!)
<Hash=0x90FA81EE>	GROOOAAANN!!! (Gotta hit those books hard! The answer to ending the curse must be hiding in there somewhere...)
<Hash=0x6ADBE00>	GROOOAAANN!!! (I don't know what I did wrong. Cleo's been so weird lately. It's like she's a completely different person... and she's not the only one! There's something strange going on at the school...)
<Hash=0xCADC772>	GROOOAAANN!!! (Do you have any idea of what might be causing this weird behaviour?)
<Hash=0xFC8BD2D7>	GROOOAAANN!!! (You know what? I think you might be onto something. All this weirdness did start around the time Cleo got that Amulet for her Birthday!)
<Hash=0xFD8BD46A>	GRROOAAAANN!! (You know, I think this really started around her birthday when she got that amulet. She's been different ever since.)
<Hash=0x11ADCF51>	GROOOAAANN!!! (So what to do? I'm pretty good at research, so I could hit the books. See if I can turn something up on the Amulet.)
<Hash=0x3AB7AB0>	GROOOAAANN!!! (If you keep an eye on Cleo, and bring the other fearleaders into the loop, then I'll hit the Library and see if research can turn up any clues.
